3-D,3-D:A
3-D,3-D:N
3-Ds,3-D:Npl
4-H,4-H:N
4-Hs,4-H:Npl
A's,A:Npl
A's,a:Npl
A-OK,A-OK:A
A-Okay,A-Okay:A
A-bomb,A-bomb:N
A-bomb,A-bomb:V
A-bombed,A-bomb:Vpp
A-bombed,A-bomb:Vpt
A-bombing,A-bomb:Ving
A-bombs,A-bomb:Npl
A-bombs,A-bomb:V3sg
A-frame,A-frame:A
A-frame,A-frame:N
A-frames,A-frame:Npl
A-horizon,A-horizon:N
A-horizons,A-horizon:Npl
A-level,A-level:PN
A-line,A-line:A
A-proposition,A-proposition:N
A-propositions,A-proposition:Npl
A.B.,A.B.:PN
A.C./D.C.,A.C./D.C.:A
A.D.,A.D.:PN
A.E.,A.E.:PN
A.M.,A.M.:PN
A.U.C.,A.U.C.:PN
A/C,A/C:PN
A/V,A/V:PN
A/o,A/o:PN
A1C,A1C:PN
AA,AA:PN
AAA,AAA:PN
AAAL,AAAL:PN
AAAS,AAAS:PN
AAM,AAM:PN
AARP,AARP:PN
AAU,AAU:PN
AAUP,AAUP:PN
AB,AB:N
AB,AB:PN
ABA,ABA:PN
ABC's,ABC:Npl
ABC,ABC:N
ABC,ABC:PN
ABD,ABD:PN
ABM,ABM:PN
ABS,ABS:PN
ABs,AB:Npl
AC/DC,AC/DC:A
AC,AC:PN
ACH,ACH:PN
ACLU,ACLU:PN
ACS,ACS:PN
ACT,ACT:PN
ACTH,ACTH:PN
ACTION,ACTION:N
ACTIONs,ACTION:Npl
ACV,ACV:PN
AD,AD:PN
ADA,ADA:PN
ADC,ADC:PN
ADP,ADP:N
ADP,ADP:PN
ADPs,ADP:Npl
AEC,AEC:PN
AEF,AEF:PN
AF,AF:PN
AFAM,AFAM:PN
AFB,AFB:PN
AFC,AFC:PN
AFDC,AFDC:PN
AFL-CIO,AFL-CIO:PN
AFSCME,AFSCME:PN
AFT,AFT:PN
AFTRA,AFTRA:PN
AG,AG:PN
AH,AH:PN
AI,AI:PN
AIA,AIA:PN
AID,AID:PN
AIDS,AIDS:N
AIDSs,AIDS:Npl
AK,AK:PN
AKC,AKC:PN
AL,AL:PN
ALA,ALA:PN
ALCM,ALCM:PN
ALGOL,ALGOL:N
ALGOLs,ALGOL:Npl
ALU,ALU:N
ALUs,ALU:Npl
AM,AM:PN
AMA,AMA:PN
AME,AME:PN
AMG,AMG:PN
AMP,AMP:N
AMPs,AMP:Npl
AMU,AMU:PN
AMVETS,AMVETS:PN
ANA,ANA:PN
ANTA,ANTA:PN
ANTU,ANTU:N
ANTUs,ANTU:Npl
AOR,AOR:PN
AP,AP:PN
APA,APA:PN
APB,APB:PN
APC,APC:N
APCs,APC:Npl
API,API:PN
APO,APO:PN
AR,AR:PN
ARC,ARC:N
ARC,ARC:PN
ARCs,ARC:Npl
ARE,ARE:PN
ARV,ARV:PN
ASAP,ASAP:PN
ASAT,ASAT:A
ASCAP,ASCAP:PN
ASCE,ASCE:PN
ASCII,ASCII:N
ASCIIs,ASCII:Npl
ASCS,ASCS:PN
ASDIC,ASDIC:N
ASDICs,ASDIC:Npl
ASEAN,ASEAN:PN
ASID,ASID:PN
ASL,ASL:PN
ASME,ASME:PN
ASPCA,ASPCA:PN
ASSR,ASSR:PN
AST,AST:PN
ASTM,ASTM:PN
AT&T,AT&T:PN
ATM,ATM:N
ATMs,ATM:Npl
ATP,ATP:PN
ATV,ATV:N
ATVs,ATV:Npl
AU,AU:PN
AUC,AUC:PN
AV,AV:PN
AWACS,AWACS:N
AWACSs,AWACS:Npl
AWOL,AWOL:A
AWOL,AWOL:Adv
AWOL,AWOL:N
AWOLs,AWOL:Npl
AZ,AZ:PN
AZT,AZT:N
AZTs,AZT:Npl
Aachen,Aachen:PN
Aalborg,Aalborg:PN
Aalst,Aalst:PN
Aar,Aar:PN
Aare,Aare:PN
Aargau,Aargau:PN
Aarhus,Aarhus:PN
Aaron,Aaron:PN
Aaronic,Aaronic:A
Ab,Ab:N
Abaddon,Abaddon:PN
Abad·n,Abad·n:PN
Abba,Abba:N
Abbas,Abba:Npl
Abbassid,Abbassid:A
Abbassid,Abbassid:N
Abbassids,Abbassid:Npl
Abbevillian,Abbevillian:A
Abbotsford,Abbotsford:PN
Abdias,Abdias:PN
Abdul-Aziz,Abdul-Aziz:PN
Abdul-Medjid,Abdul-Medjid:PN
Abdul-Mejid,Abdul-Mejid:PN
Abednego,Abednego:PN
Abel,Abel:PN
Abenaki,Abenaki:N
Abenaki,Abenaki:Npl
